bbref_id	School	"City, State"	latitude	longitude	From	To	Yrs	G	W	L	W-L%	SRS	SOS	AP	CREG	CTRN	NCAA	FF	NC
providence	Providence Friars	"Providence, Rhode Island"	41.8239891	-71.4128342	1929	2016	67	1905	1169	736	0.614	7.29	4.03	6	0	2	17	2	0
purdue	Purdue Boilermakers	"West Lafayette, Indiana"	40.4258686	-86.9080654	1897	2016	118	2720	1730	990	0.636	11.35	7.47	18	22	1	27	2	0
quinnipiac	Quinnipiac Bobcats	"Hamden, Connecticut"	41.3959287	-72.8968715	1999	2016	18	522	257	265	0.492	-8.3	-7.01	0	1	0	0	0	0
radford	Radford Highlanders	"Radford, Virginia"	37.1317924	-80.5764476	1985	2016	32	941	483	458	0.513	-9.52	-7.36	0	4	2	2	0	0
regis-co	Regis (CO) Rangers	"Denver, Colorado"	39.7391536	-104.9847033	1962	1964	3	66	37	29	0.561	-4.77	0.04	0	0	0	0	0	0
rensselaer	Rensselaer Engineers	"Troy, New York"	42.7284117	-73.691785	1901	1924	4	39	28	11	0.718			0	0	0			
rhode-island	Rhode Island Rams	"Kingston, Rhode Island"	41.4803791	-71.5225597	1904	2016	110	2536	1440	1096	0.568	-1.7	-0.93	0	14	1	8	0	0
rice	Rice Owls	"Houston, Texas"	29.7589382	-95.3676973	1915	2016	102	2444	1064	1380	0.435	-3.21	0.93	0	10	0	4	0	0
richmond	Richmond Spiders	"Richmond, Virginia"	37.5385087	-77.4342799	1913	2016	104	2470	1320	1150	0.534	-2.5	-1.72	1	6	6	9	0	0
rider	Rider Broncs	"Lawrenceville, New Jersey"	40.2973299	-74.7296048	1929	2016	53	1480	775	705	0.524	-7.72	-6.14	0	11	3	3	0	0
ripon	Ripon Red Hawks	"Ripon, Wisconsin"	43.8424502	-88.8372971	1902	1922	5	59	46	13	0.78			0	0	0			
roanoke	Roanoke Maroons	"Salem, Virginia"	37.293378	-80.0546669	1912	1919	8	92	67	25	0.728			0	0	0			
robert-morris	Robert Morris Colonials	"Moon Township, Pennsylvania"	40.1942759	-74.7648836	1977	2016	40	1172	577	595	0.492	-8.82	-6.78	0	11	8	8	0	0
rochester-ny	Rochester (NY) Yellowjackets	"Rochester, New York"	43.1854754	-77.61068605	1910	1944	7	111	74	37	0.667			0	0	0	0	0	0
rose-hulman	Rose-Hulman Fightin' Engineers	"Terre Haute, Indiana"	39.4667025	-87.4139118	1898	1898	1	4	2	2	0.5			0	0	0			
rutgers	Rutgers Scarlet Knights	"New Brunswick, New Jersey"	40.4862174	-74.4518172	1914	2016	102	2343	1195	1148	0.51	-1.45	0.17	2	9	2	6	1	0
sacramento-state	Sacramento State Hornets	"Sacramento, California"	38.5815719	-121.4943995	1992	2016	25	692	202	490	0.292	-12.99	-2.84	0	0	0	0	0	0
sacred-heart	Sacred Heart Pioneers	"Fairfield, Connecticut"	41.2943069	-73.3748599	2000	2016	17	492	179	313	0.364	-11.62	-6.76	0	0	0	0	0	0
saint-francis-pa	Saint Francis (PA) Red Flash	"Loretto, Pennsylvania"	40.5029161	-78.6314018	1956	2016	61	1634	721	913	0.441	-9.31	-4.29	0	1	1	1	0	0
saint-josephs	Saint Joseph's Hawks	"Philadelphia, Pennsylvania"	39.9523993	-75.1635898	1910	2016	107	2662	1594	1068	0.599	4.1	1.73	6	20	5	20	1	0
saint-louis	Saint Louis Billikens	"St. Louis, Missouri"	38.6272733	-90.1978888	1916	2016	100	2540	1376	1164	0.542	5.15	4.05	10	7	2	9	0	0
saint-marys-ca	Saint Mary's (CA) Gaels	"Moraga, California"	37.8347106	-122.1295595	1910	2016	107	2460	1248	1212	0.507	-1.8	0.12	2	6	3	8	0	0
saint-peters	Saint Peter's Peacocks	"Jersey City, New Jersey"	40.7281575	-74.0776416	1966	2016	51	1432	709	723	0.495	-5.08	-3.94	0	6	3	3	0	0
sam-houston-state	Sam Houston State Bearkats	"Huntsville, Texas"	30.7235263	-95.550777	1987	2016	30	867	443	424	0.511	-7.27	-5.25	0	5	2	2	0	0
samford	Samford Bulldogs	"Birmingham, Alabama"	33.5206824	-86.8024325	1973	2016	44	1246	543	703	0.436	-9.31	-5.54	0	3	2	2	0	0
san-diego-state	San Diego State Aztecs	"San Diego, California"	32.7174209	-117.1627713	1971	2016	46	1360	722	638	0.531	2.92	3.35	3	7	6	11	0	0
san-diego	San Diego Toreros	"San Diego, California"	32.7174209	-117.1627713	1980	2016	37	1069	534	535	0.5	-0.34	0.35	0	2	2	4	0	0
san-francisco	San Francisco Dons	"San Francisco, California"	37.7792768	-122.4192703	1924	2016	89	2283	1318	965	0.577	2.17	0.53	9	15	1	16	3	2
san-jose-state	San Jose State Spartans	"San Jose, California"	37.3361905	-121.8905832	1938	2016	66	1788	729	1059	0.408	-3.95	0.67	0	1	2	2	0	0
santa-clara	Santa Clara Broncos	"Santa Clara, California"	37.3541132	-121.9551743	1909	2016	107	2496	1441	1055	0.577	1.49	0.51	2	11	2	11	1	0
savage-school-of-physical-education	Savage School of Physical Education 	"New York, New York"	40.7305991	-73.9865811	1896	1898	2	8	6	2	0.75			0	0	0			
savannah-state	Savannah State Tigers	"Savannah, Georgia"	32.0835407	-81.0998341	2003	2016	14	407	141	266	0.346	-16.74	-4.68	0	1	0	0	0	0
scranton	Scranton Royals	"Scranton, Pennsylvania"	41.4086874	-75.6621293	1948	1948	1	27	7	20	0.259			0	0	0	0	0	0
seattle	Seattle Redhawks	"Seattle, Washington"	47.6038321	-122.3300623	1953	2016	34	926	554	372	0.598	1.63	-0.94	5	0	0	11	1	0
seton-hall	Seton Hall Pirates	"South Orange, New Jersey"	40.7474966	-74.2635375	1909	2016	103	2484	1440	1043	0.58	3.01	3.19	6	3	2	9	1	0
sewanee	Sewanee Tigers	"Sewanee, Tennessee"	35.2031373	-85.9210898	1923	1941	19	248	48	200	0.194			0	0	0	0	0	0
siena	Siena Saints	"Loudonville, New York"	42.7048009	-73.7548423	1939	2016	58	1570	869	701	0.554	-3.98	-3.38	1	9	6	6	0	0
south-alabama	South Alabama Jaguars	"Mobile, Alabama"	30.6943566	-88.043054	1972	2016	45	1295	736	559	0.568	-0.58	-1.54	0	12	5	8	0	0
south-carolina	South Carolina Gamecocks	"Columbia, South Carolina"	34.0007493	-81.0343312	1909	2016	108	2566	1360	1205	0.53	3.78	3.07	8	7	2	8	0	0
south-carolina-state	South Carolina State Bulldogs	"Orangeburg, South Carolina"	33.4918203	-80.8556475	1972	2016	45	1310	650	660	0.496	-12.81	-10.67	0	8	5	5	0	0
south-carolina-upstate	South Carolina Upstate Spartans	"Spartanburg, South Carolina"	34.9498007	-81.9320156	2011	2016	6	190	92	98	0.484	-5.73	-3.77	0	0	0	0	0	0
south-dakota	South Dakota Coyotes	"Vermillion, South Dakota"	42.7794417	-96.9292103	2011	2016	6	175	77	98	0.44	-7.07	-3.39	0	0	0	0	0	0
south-dakota-state	South Dakota State Jackrabbits	"Brookings, South Dakota"	44.3114605	-96.7984396	2009	2016	8	252	157	95	0.623	1.21	-2.69	0	2	2	2	0	0
south-florida	South Florida Bulls	"Tampa, Florida"	27.9477595	-82.4584439	1974	2016	43	1252	579	673	0.462	1.46	3.08	0	1	1	3	0	0
southeast-missouri-state	Southeast Missouri State Redhawks	"Cape Girardeau, Missouri"	37.3058839	-89.5181475	1992	2016	25	724	307	417	0.424	-8.65	-4.67	0	1	1	1	0	0
southeastern-louisiana	Southeastern Louisiana Lions	"Hammond, Louisiana"	30.5043583	-90.4611994	1981	2016	35	986	418	568	0.424	-11.08	-6.12	0	4	1	1	0	0
southern-california	Southern California Trojans	"Los Angeles, California"	34.0543942	-118.2439408	1907	2016	110	2713	1547	1166	0.57	7.73	6.16	9	7	1	16	2	0
southern-illinois	Southern Illinois Salukis	"Carbondale, Illinois"	37.7274692	-89.2166549	1968	2016	49	1440	804	636	0.558	2.92	2.16	1	9	5	10	0	0
southern-illinois-edwardsville	Southern Illinois-Edwardsville Cougars	"Edwardsville, Illinois"	38.8114364	-89.9531569	2011	2016	6	162	54	108	0.333	-12.16	-3.87	0	0	0	0	0	0
southern	Southern Jaguars	"Baton Rouge, Louisiana"	30.4507462	-91.1545509	1978	2016	39	1134	604	531	0.532	-9.78	-9.94	0	8	8	8	0	0
southern-methodist	Southern Methodist Mustangs	"Dallas, Texas"	32.7762719	-96.7968558	1917	2016	100	2460	1277	1183	0.519	2.05	1.66	3	14	2	11	1	0
southern-mississippi	Southern Mississippi Golden Eagles	"Hattiesburg, Mississippi"	31.3271189	-89.2903391	1967	2016	45	1302	692	610	0.531	1.23	2.05	1	2	0	3	0	0
southern-utah	Southern Utah Thunderbirds	"Cedar City, Utah"	37.6774769	-113.061893	1989	2016	28	794	344	450	0.433	-7.32	-3.58	0	2	3	1	0	0
southwestern-ks	Southwestern (KS) Moundbuilders	"Winfield, Kansas"	37.2397486	-96.9955918	1905	1923	19	289	212	77	0.734			0	0	0			
southwestern-tx	Southwestern (TX) Pirates	"Georgetown, Texas"	30.664339	-97.66227731	1915	1916	2	10	1	9	0.1			0	0	0			
springfield	Springfield Pride	"Springfield, Massachusetts"	42.11241225	-72.54671366	1897	1935	30	406	268	138	0.66			0	0	0			
st-bonaventure	St. Bonaventure Bonnies	"St. Bonaventure, New York"	42.0803426	-78.4750212	1920	2016	96	2287	1288	999	0.563	1.82	1.5	6	6	1	6	1	0
st-francis-ny	St. Francis (NY) Terriers	"Brooklyn Heights, New York"	40.69608485	-73.99502774	1902	2016	97	2403	1186	1217	0.494	-11.53	-5.49	0	6	0	0	0	0
st-johns-ny	St. John's (NY) Red Storm	"Queens, New York"	40.6524927	-73.79142132	1908	2016	109	2819	1848	971	0.656	8.4	4.81	15	14	3	29	2	0
st-johns-college-oh	St. John's College (OH) 	"Toledo, Ohio"	41.6786754	-83.5127282	1921	1921	1	15	15	0	1			0	0	0			
st-lawrence	St. Lawrence Saints	"Canton, New York"	44.5956163	-75.1690941	1902	1914	7	99	70	29	0.707			0	0	0			
stanford	Stanford Cardinal	"Stanford, California"	37.4265649	-122.1701876	1914	2016	101	2584	1477	1107	0.572	7.89	6.04	10	11	1	17	2	1
stephen-f-austin	Stephen F. Austin Lumberjacks	"Nacogdoches, Texas"	31.5970503	-94.592745	1987	2016	30	859	475	384	0.553	-6.23	-6.66	0	7	3	3	0	0
stetson	Stetson Hatters	"DeLand, Florida"	29.0195145	-81.29414163	1972	2016	45	1266	587	679	0.464	-7.93	-4.41	0	0	0	0	0	0
stevens-institute	Stevens Institute Ducks	"Hoboken, New Jersey"	40.7433066	-74.0323751	1917	1920	4	48	37	11	0.771			0	0	0			
stony-brook	Stony Brook Seawolves	"Stony Brook, New York"	40.9256538	-73.1409429	2000	2016	17	507	246	261	0.485	-6.81	-5.57	0	3	0	0	0	0
suny-potsdam	SUNY-Potsdam Bears	"Potsdam, New York"	44.6697805	-74.9813083	1910	1913	2	32	22	10	0.688			0	0	0			
swarthmore	Swarthmore Garnet	"Swarthmore, Pennsylvania"	39.9020565	-75.3499123	1906	1919	11	133	92	41	0.692			0	0	0			
syracuse	Syracuse Orange	"Syracuse, New York"	43.0481221	-76.1474243	1899	2016	116	2796	1936	859	0.693	9.42	3.56	30	10	5	37	5	1
temple	Temple Owls	"Philadelphia, Pennsylvania"	39.9523993	-75.1635898	1895	2016	120	2893	1860	1033	0.643	6.39	2.38	9	19	10	31	2	0
tennessee-state	Tennessee State Tigers	"Nashville, Tennessee"	36.1622296	-86.774353	1978	2016	39	1102	464	638	0.421	-8.85	-4.81	0	2	2	2	0	0
tennessee-tech	Tennessee Tech Golden Eagles	"Cookeville, Tennessee"	36.162839	-85.5016422	1944	2016	62	1667	832	835	0.499	-6.3	-3.63	0	7	1	2	0	0
tennessee	Tennessee Volunteers	"Knoxville, Tennessee"	35.9603948	-83.921026	1909	2016	107	2591	1578	1011	0.61	8	4.89	11	12	4	20	0	0
tennessee-martin	Tennessee-Martin Skyhawks	"Martin, Tennessee"	36.3433965	-88.8503379	1993	2016	24	689	251	438	0.364	-11.42	-4.09	0	1	0	0	0	0
texas-am	Texas A&M Aggies	"College Station, Texas"	30.6262616	-96.3347248	1913	2016	104	2584	1361	1223	0.527	2.05	2.11	3	11	2	12	0	0
texas-am-corpus-christi	Texas A&M-Corpus Christi Islanders	"Corpus Christi, Texas"	27.8002542	-97.3955743	2003	2016	14	415	215	200	0.518	-5.3	-4.32	0	1	1	1	0	0
texas-christian	Texas Christian Horned Frogs	"Fort Worth, Texas"	32.753177	-97.3327458	1914	2016	103	2502	1152	1350	0.46	-0.62	1.41	3	11	0	7	0	0
texas	Texas Longhorns	"Austin, Texas"	30.2711286	-97.7436994	1906	2016	110	2758	1731	1027	0.628	5.86	3.18	11	25	2	32	3	0
texas-southern	Texas Southern Tigers	"Houston, Texas"	29.7589382	-95.3676973	1978	2016	39	1130	550	580	0.487	-10.81	-8.48	0	10	6	6	0	0
texas-state	Texas State Bobcats	"San Marcos, Texas"	29.8826436	-97.9405827	1985	2016	32	911	398	513	0.437	-9.21	-5.91	0	3	2	2	0	0
texas-tech	Texas Tech Red Raiders	"Lubbock, Texas"	33.5778631	-101.8551664	1926	2016	88	2330	1291	1039	0.554	3.51	2.19	4	12	5	14	0	0
texas-wesleyan	Texas Wesleyan Rams	"Fort Worth, Texas"	32.753177	-97.3327458	1948	1948	1	30	19	11	0.633			0	0	0	0	0	0
texas-arlington	Texas-Arlington Mavericks	"Arlington, Texas"	32.7355816	-97.1071185	1969	2016	48	1345	601	744	0.447	-8.73	-4.85	0	2	1	1	0	0
texas-el-paso	Texas-El Paso Miners	"El Paso, Texas"	31.8111305	-106.5013493	1923	2016	88	2233	1293	940	0.579	3.2	0.84	4	11	5	17	1	1
texas-pan-american	Texas-Rio Grande Valley Vaqueros	"Edinburg, Texas"	26.3013982	-98.16245	1969	2016	48	1328	572	757	0.43	-8.44	-3.14	0	0	0	0	0	0
texas-san-antonio	Texas-San Antonio Roadrunners	"San Antonio, Texas"	29.4246002	-98.4951404	1982	2016	35	1010	511	499	0.506	-6.26	-4.87	0	3	4	4	0	0
toledo	Toledo Rockets	"Toledo, Ohio"	41.6786754	-83.5127282	1916	2016	101	2423	1384	1039	0.571	0.7	-0.24	2	10	1	4	0	0
towson	Towson Tigers	"Towson, Maryland"	39.4018552	-76.6023879	1980	2016	37	1079	442	637	0.41	-8.51	-4.54	0	4	3	2	0	0
trinity-ct	Trinity (CT) Bantams	"Hartford, Connecticut"	41.7634935	-72.6830522	1897	1911	8	81	28	53	0.346			0	0	0			
trinity-tx	Trinity (TX) Tigers	"San Antonio, Texas"	29.4246002	-98.4951404	1971	1973	3	70	25	45	0.357	-24.37	-5.64	0	0	0	0	0	0
troy	Troy Trojans	"Troy, Alabama"	31.764098	-85.95665346	1994	2016	23	667	318	349	0.477	-8.05	-5.55	0	6	1	1	0	0
tulane	Tulane Green Wave	"New Orleans, Louisiana"	29.9499323	-90.0701155	1906	2016	106	2413	1191	1222	0.494	-1.12	1.03	1	6	0	3	0	0
tulsa	Tulsa Golden Hurricane	"Tulsa, Oklahoma"	36.1556805	-95.9929112	1914	2016	103	2501	1391	1110	0.556	5.07	3.14	5	10	6	15	0	0
alliant-international	U.S. International Gulls	"San Diego, California"	32.7174209	-117.1627713	1982	1991	10	279	69	210	0.247	-18.06	-5.34	0	0	0	0	0	0
california-davis	UC-Davis Aggies	"Davis, California"	38.545379	-121.7445834	2008	2016	9	269	107	162	0.398	-7.32	-2.46	0	1	0	0	0	0
california-irvine	UC-Irvine Anteaters	"Irvine, California"	33.6856969	-117.8259818	1978	2016	39	1145	545	600	0.476	-1.78	0.46	0	3	1	1	0	0
california-riverside	UC-Riverside Highlanders	"Riverside, California"	33.9533546	-117.3961622	2002	2016	15	431	151	280	0.35	-8.45	-1.89	0	0	0	0	0	0
california-santa-barbara	UC-Santa Barbara Gauchos	"Santa Barbara, California"	34.4098107	-119.6970238	1964	2016	53	1481	778	703	0.525	-0.15	0.34	0	4	3	5	0	0
ucla	UCLA Bruins	"Los Angeles, California"	34.0543942	-118.2439408	1920	2016	97	2632	1818	814	0.691	15.66	6.89	40	31	4	47	18	11
union-ny	Union (NY) Dutchmen	"Schenectady, New York"	42.8095455	-74.0216719	1907	1925	19	266	162	104	0.609			0	0	0			
california	University of California Golden Bears	"Berkeley, California"	37.8708393	-122.2728638	1908	2016	107	2693	1575	1118	0.585	7.37	5.99	4	14	0	18	3	1
utah-state	Utah State Aggies	"Logan, Utah"	41.7313447	-111.834863	1904	2016	111	2610	1539	1071	0.59	3.61	0.83	4	15	8	20	0	0
